epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.249,1.42687,0.90084,1.35974,0.90235,0.81867,0.89173,0.53427,1.37882,0.66524,1.23079,0.00332577,0.00332577,0.00332577
2,253.383,1.15703,0.59628,1.1233,0.9075,0.82444,0.89717,0.53584,1.4161,0.6414,1.23059,0.00659318,0.00659318,0.00659318
3,370.642,1.11667,0.58049,1.09777,0.90571,0.81799,0.8948,0.53161,1.44653,0.65621,1.24985,0.00979459,0.00979459,0.00979459
4,485.719,1.0718,0.55487,1.08233,0.92251,0.83278,0.90883,0.54802,1.4116,0.62985,1.2589,0.009703,0.009703,0.009703
5,600.935,1.00134,0.51767,1.05449,0.91055,0.81004,0.89865,0.5224,1.51625,0.64665,1.2998,0.009604,0.009604,0.009604
6,716.478,0.95351,0.49569,1.03636,0.92111,0.80857,0.89038,0.52462,1.47374,0.65288,1.28623,0.009505,0.009505,0.009505
7,831.656,0.91471,0.47543,1.0205,0.90737,0.82045,0.89812,0.5226,1.51018,0.63967,1.2951,0.009406,0.009406,0.009406
8,946.661,0.88689,0.46362,1.00879,0.91382,0.83295,0.90629,0.54322,1.47664,0.61773,1.28865,0.009307,0.009307,0.009307
9,1063.4,0.86121,0.44769,0.99969,0.91013,0.82304,0.90624,0.52919,1.4957,0.63178,1.29034,0.009208,0.009208,0.009208
10,1177.46,0.83812,0.43875,0.99115,0.91466,0.82175,0.89721,0.52653,1.49381,0.60703,1.31194,0.009109,0.009109,0.009109
11,1293.22,0.81942,0.42971,0.98578,0.89869,0.82715,0.90039,0.52805,1.48858,0.63466,1.32442,0.00901,0.00901,0.00901
12,1409.53,0.80304,0.42187,0.97861,0.90724,0.82879,0.90017,0.52309,1.50592,0.62526,1.33748,0.008911,0.008911,0.008911
13,1524.84,0.78763,0.41462,0.97184,0.90812,0.84097,0.89993,0.52575,1.50293,0.6061,1.32854,0.008812,0.008812,0.008812
14,1640.95,0.77377,0.40667,0.96554,0.90837,0.83614,0.89917,0.53115,1.50053,0.61036,1.32507,0.008713,0.008713,0.008713
15,1759.3,0.75886,0.4009,0.95999,0.90509,0.82666,0.90542,0.52503,1.49855,0.61645,1.33434,0.008614,0.008614,0.008614
16,1872.49,0.75226,0.39694,0.95681,0.91599,0.83674,0.90583,0.53794,1.46958,0.60394,1.32362,0.008515,0.008515,0.008515
