epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,859.633,1.39298,0.95298,1.42616,0.89087,0.74764,0.85402,0.4981,1.49349,0.88532,1.4662,0.00066591,0.00066591,0.00066591
2,1673.69,1.16203,0.60692,1.2556,0.89414,0.80604,0.8984,0.53117,1.49082,0.7412,1.42123,0.00120065,0.00120065,0.00120065
3,2487.37,1.06421,0.5389,1.19671,0.89838,0.81754,0.89893,0.52772,1.50096,0.73829,1.40867,0.00160339,0.00160339,0.00160339
4,3299.64,0.99271,0.49369,1.15317,0.90193,0.82017,0.90152,0.5243,1.53085,0.7174,1.4467,0.001406,0.001406,0.001406
5,4113.25,0.92198,0.45187,1.11364,0.90569,0.77676,0.8807,0.51324,1.56258,0.75098,1.46079,0.001208,0.001208,0.001208
6,4924.09,0.86776,0.42351,1.08524,0.89884,0.80439,0.88885,0.51668,1.55423,0.71544,1.45921,0.00101,0.00101,0.00101
7,5732.6,0.81391,0.39484,1.05503,0.89428,0.80885,0.88232,0.50516,1.57267,0.72404,1.47919,0.000812,0.000812,0.000812
8,6539.82,0.76043,0.36842,1.0284,0.88553,0.79087,0.86992,0.49719,1.61083,0.74293,1.50569,0.000614,0.000614,0.000614
9,7349.59,0.71777,0.34594,1.00643,0.90258,0.80108,0.88561,0.51673,1.54591,0.71008,1.4682,0.000416,0.000416,0.000416
10,8159.83,0.67071,0.32424,0.98431,0.88795,0.80892,0.87516,0.49593,1.61706,0.73714,1.5056,0.000218,0.000218,0.000218
