epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.336,1.25347,0.78715,1.32394,0.89643,0.81315,0.89003,0.52979,1.46176,0.72599,1.45071,0.000666288,0.000666288,0.000666288
2,1311.1,1.05644,0.53425,1.20055,0.90584,0.8024,0.89215,0.53435,1.47677,0.74582,1.42339,0.00120099,0.00120099,0.00120099
3,1892.48,0.96814,0.48355,1.14888,0.92834,0.82423,0.90333,0.52411,1.49987,0.70395,1.44193,0.0016037,0.0016037,0.0016037
4,2462.79,0.90012,0.44485,1.10807,0.91478,0.81902,0.89967,0.5418,1.47409,0.70086,1.41774,0.001406,0.001406,0.001406
5,3023.67,0.83999,0.41055,1.07759,0.92144,0.82545,0.90649,0.53157,1.50911,0.69668,1.43624,0.001208,0.001208,0.001208
6,3584.15,0.78837,0.38484,1.04926,0.91636,0.83462,0.9086,0.53581,1.5019,0.66791,1.41895,0.00101,0.00101,0.00101
7,4144.41,0.73834,0.36045,1.02416,0.90678,0.81473,0.89882,0.52329,1.51688,0.68967,1.44884,0.000812,0.000812,0.000812
8,4708.16,0.70168,0.33999,1.00393,0.92592,0.82022,0.90432,0.53055,1.52359,0.68165,1.45645,0.000614,0.000614,0.000614
9,5271,0.6593,0.31993,0.98376,0.92244,0.82436,0.90736,0.53681,1.50807,0.66593,1.4305,0.000416,0.000416,0.000416
10,5832.37,0.61656,0.29933,0.96399,0.91779,0.81755,0.90237,0.51887,1.56465,0.68312,1.46975,0.000218,0.000218,0.000218
