node_id,label
191429,24
191473,27
191518,24
191546,4
191552,20
191554,28
191590,16
191601,16
191603,16
191658,19
191672,16
191733,24
191738,16
191739,8
191740,27
191741,16
191742,25
191744,9
191745,39
191746,27
191747,5
191748,8
191749,16
191750,31
191751,24
191752,24
191753,28
191754,16
191755,31
191756,24
191757,5
191758,24
191759,24
191760,16
191761,16
191762,16
191763,16
191764,24
191765,24
191766,24
191767,16
191768,16
191769,16
191770,28
191771,24
191772,24
191773,16
191774,16
191775,30
191776,2
191777,26
191778,24
191779,28
191780,19
191781,24
191782,6
191783,16
191784,16
191785,16
191786,4
191787,16
191788,5
191789,16
191790,28
191791,30
191792,16
191793,34
191794,25
191795,16
191796,4
191797,24
191798,7
191799,30
191800,1
191801,24
191802,30
191803,24
191804,16
191805,16
191806,16
191807,16
191808,3
191809,26
191810,24
191811,2
191812,30
191813,31
191814,34
191815,13
191816,30
191817,24
191818,38
191819,16
191820,16
191821,24
191822,23
191823,24
191824,24
191825,24
191826,27
191827,30
191828,16
191829,6
191831,30
191838,30
191854,30
191856,24
191880,4
191887,28
191889,24
191893,23
191895,30
191903,28
191910,24
191911,30
191919,16
191942,16
191963,16
191977,30
191978,24
191979,24
191985,16
191993,37
191995,30
192004,16
192011,33
192016,24
192041,5
192042,20
192064,27
192079,24
192081,30
192082,16
192083,24
192084,16
192085,3
192086,27
192088,24
192089,30
192090,24
192091,30
192092,16
192093,27
192094,34
192095,4
192096,16
192097,23
192098,36
192099,16
192101,24
192102,7
192103,28
192106,24
192107,37
192108,24
192109,24
192110,2
192111,30
192112,10
192113,24
192114,16
192115,14
192116,24
192117,23
192118,16
192119,16
192120,24
192121,30
192122,31
192123,16
192124,33
192125,5
192126,16
192127,16
192128,5
192129,24
192130,4
192131,16
192132,16
192133,28
192134,16
192135,30
192136,24
192137,16
192138,16
192139,36
192140,16
192141,20
192142,16
192143,30
192144,24
192145,4
192146,24
192147,10
192148,34
192149,16
192150,1
192151,24
192153,16
192154,16
192155,16
192156,27
192157,24
192158,37
192159,30
192160,16
192161,30
192162,5
192163,28
192164,24
192165,34
192166,9
192167,24
192168,4
192170,16
192171,16
192172,30
192173,24
192174,2
192175,24
192176,4
192177,10
192178,34
192179,16
192180,26
192181,30
192182,27
192183,16
192184,24
192185,2
192186,24
192187,20
192188,16
192189,10
192190,10
192191,26
192192,10
192193,16
192194,30
192195,30
192196,24
192197,24
192198,30
192199,24
192200,16
192201,24
192202,10
192203,34
192204,28
192205,27
192206,16
192207,7
192208,38
192209,16
192210,24
